cod_dpto,dpto,departamento_limpio,anio,total_casos,casos_femenino,casos_masculino,casos_adultos,casos_menores,ipm_total
91,AMAZONAS,AMAZONAS,2010,101,76,24,101,0,
91,AMAZONAS,AMAZONAS,2011,217,194,23,210,3,
91,AMAZONAS,AMAZONAS,2012,169,139,30,162,3,
91,AMAZONAS,AMAZONAS,2013,233,188,45,218,8,
91,AMAZONAS,AMAZONAS,2014,129,96,33,123,2,
91,AMAZONAS,AMAZONAS,2015,189,139,50,174,4,
91,AMAZONAS,AMAZONAS,2016,88,77,11,86,0,
91,AMAZONAS,AMAZONAS,2017,108,82,26,99,4,
91,AMAZONAS,AMAZONAS,2018,142,113,29,125,7,35.4
91,AMAZONAS,AMAZONAS,2019,137,108,29,126,9,35.6
91,AMAZONAS,AMAZONAS,2020,93,76,17,87,2,39.0
91,AMAZONAS,AMAZONAS,2021,62,52,10,53,0,25.7
91,AMAZONAS,AMAZONAS,2022,38,31,7,32,2,27.9
91,AMAZONAS,AMAZONAS,2023,63,43,20,53,5,25.4
91,AMAZONAS,AMAZONAS,2024,50,40,10,48,0,15.6
91,AMAZONAS,AMAZONAS,2025,56,36,20,51,2,
05,ANTIOQUIA,ANTIOQUIA,2010,742,569,172,682,9,
05,ANTIOQUIA,ANTIOQUIA,2011,897,708,186,816,10,
05,ANTIOQUIA,ANTIOQUIA,2012,1418,1121,294,1300,18,
05,ANTIOQUIA,ANTIOQUIA,2013,1649,1300,345,1515,12,
05,ANTIOQUIA,ANTIOQUIA,2014,5239,4378,861,4994,25,
05,ANTIOQUIA,ANTIOQUIA,2015,10737,8849,1888,10145,97,
05,ANTIOQUIA,ANTIOQUIA,2016,13281,10855,2426,12518,204,
05,ANTIOQUIA,ANTIOQUIA,2017,11570,9443,2125,11050,147,
05,ANTIOQUIA,ANTIOQUIA,2018,13484,10871,2607,12858,184,15.3
05,ANTIOQUIA,ANTIOQUIA,2019,16888,13458,3430,15998,388,15.7
05,ANTIOQUIA,ANTIOQUIA,2020,16453,13305,3148,15490,431,14.9
05,ANTIOQUIA,ANTIOQUIA,2021,17957,13411,4543,17145,392,14.3
05,ANTIOQUIA,ANTIOQUIA,2022,15422,11256,4144,14669,363,10.7
05,ANTIOQUIA,ANTIOQUIA,2023,16923,12547,4293,16040,443,9.5
05,ANTIOQUIA,ANTIOQUIA,2024,19469,14872,4443,18195,644,10.9
05,ANTIOQUIA,ANTIOQUIA,2025,16344,12462,3780,15307,540,
81,ARAUCA,ARAUCA,2010,148,112,36,144,2,
81,ARAUCA,ARAUCA,2011,228,181,46,219,2,
81,ARAUCA,ARAUCA,2012,308,255,52,289,11,
81,ARAUCA,ARAUCA,2013,289,241,47,276,3,
81,ARAUCA,ARAUCA,2014,427,369,58,419,1,
81,ARAUCA,ARAUCA,2015,381,334,47,361,5,
81,ARAUCA,ARAUCA,2016,764,649,115,744,4,
81,ARAUCA,ARAUCA,2017,572,470,102,561,3,
81,ARAUCA,ARAUCA,2018,365,294,71,345,7,27.6
81,ARAUCA,ARAUCA,2019,382,320,62,362,11,23.3
81,ARAUCA,ARAUCA,2020,403,317,86,370,21,26.1
81,ARAUCA,ARAUCA,2021,360,295,60,336,6,26.8
81,ARAUCA,ARAUCA,2022,234,180,52,223,1,22.6
81,ARAUCA,ARAUCA,2023,165,132,29,154,2,22.8
81,ARAUCA,ARAUCA,2024,218,172,44,211,1,17.7
81,ARAUCA,ARAUCA,2025,299,240,42,268,7,
08,ATLÁNTICO,ATLANTICO,2010,811,676,135,792,4,
08,ATLÁNTICO,ATLANTICO,2011,1442,1191,251,1398,10,
08,ATLÁNTICO,ATLANTICO,2012,1767,1511,254,1719,10,
08,ATLÁNTICO,ATLANTICO,2013,2115,1732,382,2035,15,
08,ATLÁNTICO,ATLANTICO,2014,2009,1720,289,1935,26,
08,ATLÁNTICO,ATLANTICO,2015,3122,2685,437,3026,25,
08,ATLÁNTICO,ATLANTICO,2016,3142,2714,428,3026,42,
08,ATLÁNTICO,ATLANTICO,2017,2703,2315,388,2603,22,
08,ATLÁNTICO,ATLANTICO,2018,2627,2157,470,2537,47,21.1
08,ATLÁNTICO,ATLANTICO,2019,3161,2505,655,2936,124,14.9
08,ATLÁNTICO,ATLANTICO,2020,2862,2182,680,2691,109,14.1
08,ATLÁNTICO,ATLANTICO,2021,3668,2833,834,3531,57,15.5
08,ATLÁNTICO,ATLANTICO,2022,4210,3318,882,4043,86,10.2
08,ATLÁNTICO,ATLANTICO,2023,4453,3326,1115,4306,74,12.0
08,ATLÁNTICO,ATLANTICO,2024,4610,3213,1373,4413,80,9.5
08,ATLÁNTICO,ATLANTICO,2025,4600,3076,1502,4410,88,
