departamento,anio,ipm_total
ANTIOQUIA,2018,15.3
ATLÁNTICO,2018,21.1
BOGOTÁ D.C.,2018,4.1
BOLÍVAR,2018,31.9
BOYACÁ,2018,16.5
CALDAS,2018,13.8
CAQUETÁ,2018,26.9
CAUCA,2018,27.7
CESAR,2018,31.7
CÓRDOBA,2018,34.4
CUNDINAMARCA,2018,10.5
CHOCÓ,2018,46.3
HUILA,2018,18.0
LA GUAJIRA,2018,53.3
MAGDALENA,2018,36.4
META,2018,15.6
NARIÑO,2018,33.1
NORTE DE SANTANDER,2018,29.5
QUINDÍO,2018,14.2
RISARALDA,2018,11.6
SANTANDER,2018,12.6
SUCRE,2018,41.7
TOLIMA,2018,22.2
VALLE DEL CAUCA,2018,14.1
ARAUCA,2018,27.6
CASANARE,2018,19.0
PUTUMAYO,2018,24.1
SAN ANDRÉS,2018,8.5
AMAZONAS,2018,35.4
GUAINÍA,2018,60.6
GUAVIARE,2018,31.4
VAUPÉS,2018,68.5
VICHADA,2018,63.5
ANTIOQUIA,2019,15.7
ATLÁNTICO,2019,14.9
BOGOTÁ D.C.,2019,7.1
BOLÍVAR,2019,26.9
BOYACÁ,2019,12.8
CALDAS,2019,14.3
CAQUETÁ,2019,25.7
CAUCA,2019,24.0
CESAR,2019,25.5
CÓRDOBA,2019,34.7
CUNDINAMARCA,2019,12.3
CHOCÓ,2019,42.3
HUILA,2019,18.3
LA GUAJIRA,2019,48.8
MAGDALENA,2019,31.6
META,2019,19.1
NARIÑO,2019,23.2
NORTE DE SANTANDER,2019,24.2
QUINDÍO,2019,10.2
RISARALDA,2019,11.1
SANTANDER,2019,12.4
SUCRE,2019,33.3
TOLIMA,2019,15.2
VALLE DEL CAUCA,2019,10.8
ARAUCA,2019,23.3
CASANARE,2019,18.3
PUTUMAYO,2019,25.4
SAN ANDRÉS,2019,8.2
AMAZONAS,2019,35.6
GUAINÍA,2019,67.0
GUAVIARE,2019,30.9
VAUPÉS,2019,66.5
VICHADA,2019,72.2
ANTIOQUIA,2020,14.9
ATLÁNTICO,2020,14.1
BOGOTÁ D.C.,2020,7.5
BOLÍVAR,2020,28.1
BOYACÁ,2020,11.7
CALDAS,2020,14.5
CAQUETÁ,2020,26.1
CAUCA,2020,28.2
CESAR,2020,27.2
CÓRDOBA,2020,31.8
CUNDINAMARCA,2020,11.4
CHOCÓ,2020,49.0
HUILA,2020,23.4
LA GUAJIRA,2020,51.7
MAGDALENA,2020,33.4
META,2020,14.1
NARIÑO,2020,27.3
NORTE DE SANTANDER,2020,26.1
QUINDÍO,2020,12.9
RISARALDA,2020,13.1
SANTANDER,2020,12.5
SUCRE,2020,38.1
TOLIMA,2020,19.0
VALLE DEL CAUCA,2020,11.1
ARAUCA,2020,26.1
CASANARE,2020,19.6
PUTUMAYO,2020,27.8
SAN ANDRÉS,2020,11.9
AMAZONAS,2020,39.0
GUAINÍA,2020,65.9
GUAVIARE,2020,34.6
VAUPÉS,2020,65.6
VICHADA,2020,75.6
ANTIOQUIA,2021,14.3
ATLÁNTICO,2021,15.5
BOGOTÁ D.C.,2021,5.7
BOLÍVAR,2021,26.8
BOYACÁ,2021,10.9
CALDAS,2021,11.5
CAQUETÁ,2021,23.1
CAUCA,2021,18.6
CESAR,2021,25.3
CÓRDOBA,2021,26.9
CUNDINAMARCA,2021,9.4
CHOCÓ,2021,36.0
HUILA,2021,17.5
LA GUAJIRA,2021,48.7
MAGDALENA,2021,32.4
META,2021,14.9
NARIÑO,2021,22.1
NORTE DE SANTANDER,2021,24.7
QUINDÍO,2021,10.9
RISARALDA,2021,10.7
SANTANDER,2021,13.3
SUCRE,2021,30.3
TOLIMA,2021,16.6
VALLE DEL CAUCA,2021,8.6
ARAUCA,2021,26.8
CASANARE,2021,19.5
PUTUMAYO,2021,22.8
SAN ANDRÉS,2021,7.0
AMAZONAS,2021,25.7
GUAINÍA,2021,57.3
GUAVIARE,2021,31.0
VAUPÉS,2021,52.7
VICHADA,2021,64.8
ANTIOQUIA,2022,10.7
ATLÁNTICO,2022,10.2
BOGOTÁ D.C.,2022,3.8
BOLÍVAR,2022,19.4
BOYACÁ,2022,9.6
CALDAS,2022,10.5
CAQUETÁ,2022,19.6
CAUCA,2022,18.3
CESAR,2022,19.1
CÓRDOBA,2022,26.9
CUNDINAMARCA,2022,7.3
CHOCÓ,2022,36.8
HUILA,2022,13.3
LA GUAJIRA,2022,42.9
MAGDALENA,2022,23.0
META,2022,11.3
NARIÑO,2022,17.6
NORTE DE SANTANDER,2022,18.5
QUINDÍO,2022,10.0
RISARALDA,2022,10.0
SANTANDER,2022,10.4
SUCRE,2022,26.0
TOLIMA,2022,10.5
VALLE DEL CAUCA,2022,9.7
ARAUCA,2022,22.6
CASANARE,2022,13.3
PUTUMAYO,2022,20.8
SAN ANDRÉS,2022,8.8
AMAZONAS,2022,27.9
GUAINÍA,2022,46.5
GUAVIARE,2022,26.9
VAUPÉS,2022,47.1
VICHADA,2022,75.4
ANTIOQUIA,2023,9.5
ATLÁNTICO,2023,12.0
BOGOTÁ D.C.,2023,3.6
BOLÍVAR,2023,18.4
BOYACÁ,2023,9.9
CALDAS,2023,7.4
CAQUETÁ,2023,17.2
CAUCA,2023,15.8
CESAR,2023,17.7
CÓRDOBA,2023,21.4
CUNDINAMARCA,2023,7.6
CHOCÓ,2023,37.4
HUILA,2023,11.9
LA GUAJIRA,2023,42.6
MAGDALENA,2023,21.4
META,2023,12.9
NARIÑO,2023,16.6
NORTE DE SANTANDER,2023,20.5
QUINDÍO,2023,7.5
RISARALDA,2023,11.8
SANTANDER,2023,9.8
SUCRE,2023,23.1
TOLIMA,2023,12.9
VALLE DEL CAUCA,2023,7.2
ARAUCA,2023,22.8
CASANARE,2023,15.0
PUTUMAYO,2023,13.2
SAN ANDRÉS,2023,5.0
AMAZONAS,2023,25.4
GUAINÍA,2023,52.1
GUAVIARE,2023,30.6
VAUPÉS,2023,55.7
VICHADA,2023,65.4
ANTIOQUIA,2024,10.9
ATLÁNTICO,2024,9.5
BOGOTÁ D.C.,2024,5.4
BOLÍVAR,2024,15.6
BOYACÁ,2024,6.9
CALDAS,2024,9.2
CAQUETÁ,2024,13.9
CAUCA,2024,14.0
CESAR,2024,13.4
CÓRDOBA,2024,25.7
CUNDINAMARCA,2024,7.4
CHOCÓ,2024,33.9
HUILA,2024,10.9
LA GUAJIRA,2024,39.3
MAGDALENA,2024,19.2
META,2024,10.4
NARIÑO,2024,18.1
NORTE DE SANTANDER,2024,15.2
QUINDÍO,2024,7.4
RISARALDA,2024,9.5
SANTANDER,2024,6.8
SUCRE,2024,21.8
TOLIMA,2024,12.6
VALLE DEL CAUCA,2024,6.2
ARAUCA,2024,17.7
CASANARE,2024,11.3
PUTUMAYO,2024,11.8
SAN ANDRÉS,2024,6.0
AMAZONAS,2024,15.6
GUAINÍA,2024,49.0
GUAVIARE,2024,21.3
VAUPÉS,2024,37.4
VICHADA,2024,70.2
